title,Adjusted Close,Date
Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,86.85692596435547,10-06-2020
10 Biggest Price Target Changes For Wednesday,86.85692596435547,10-06-2020
"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",86.85692596435547,10-06-2020
"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350",86.85692596435547,10-06-2020
"Apple To Let Users Trade In Their Mac Computers For Credit At US, Canada Stores: Report",86.85692596435547,10-06-2020
Big Tech Reaches New Record Heights At The Stock Market,86.85692596435547,10-06-2020
Why Apple's Stock Is Trading Higher Today,84.67837524414062,09-06-2020
Apple Could Announce In-House Chips For Macs At WWDC: Report,84.67837524414062,09-06-2020
"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July.",84.67837524414062,09-06-2020
"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon",84.67837524414062,09-06-2020
'iPhone 12 Production Expected to Begin in July' -MacRumors,84.67837524414062,09-06-2020
Cramer: NASDAQ Rebound Makes Sense As It Better Represents Economy,84.67837524414062,09-06-2020
"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",84.67837524414062,09-06-2020
"IBM Discontinues Facial Recognition Technology, Says It Can't Condone 'Racial Profiling' Or 'Mass Surveillance'",84.67837524414062,09-06-2020
Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth,82.08625030517578,08-06-2020
Airlines Soar Again In Pre-Market Trading Amid More Reopening Optimism,82.08625030517578,08-06-2020
Apple Gets Patent For Socially-Distanced Group Selfies,82.08625030517578,08-06-2020
Apple's Top Supplier Foxconn Launched New Recruitment Drive as Current Covid-19 Pandemic in China Ends,,
"Apple Preparing Monthly iPad, Mac Payment Plans for Apple Card",,
"ESPAÑOL • Cannabis en Argentina, Blockchain Uruguayo, Elon Musk, Warren Buffett, Jeff Bezos, Isiah Thomas, y Canopy Growth",81.60376739501953,05-06-2020
PreMarket Prep Stock Of The Day: Genius Brands,81.60376739501953,05-06-2020
"Airlines, Casino Stocks Getting A Lift In Pre-Market Trading as Surprising Jobs Report Gets Digested",81.60376739501953,05-06-2020
Stocks That Hit 52-Week Highs On Friday,81.60376739501953,05-06-2020
No Surprise: Guess What Market Is Leading Post-Virus Equity Rebound,81.60376739501953,05-06-2020
"Wedbush Maintains Outperform on Apple, Raises Price Target to $375",81.60376739501953,05-06-2020
"Credit Suisse Maintains Neutral on Apple, Raises Price Target to $295",81.60376739501953,05-06-2020
FaZe Clan Celebrates 10-Year Anniversary With G FUEL And Apple Beats,81.60376739501953,05-06-2020
"US Debt Market Raised $22.5B This Week, The Highest Since 2007: FT",81.60376739501953,05-06-2020
"Apple $425 Per Share Case 'On The Horizon,' Analyst Says",81.60376739501953,05-06-2020
FAANG Stocks Seem Immune To COVID-19,79.34397888183594,04-06-2020
'Apple's #iPhone to join Beijing's 12.2 billion yuan ($1.7 billion) consumption voucher program: report. The discount for each purchase is a maximum of 400 yuan.' -Tweet From China's Global Times,79.34397888183594,04-06-2020
"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month",79.34397888183594,04-06-2020
Warner Music CEO On IPO: Music Is The 'Only Global Language',80.0332260131836,03-06-2020
"Morgan Stanley Bullish On Rising App Store Revenue, Raises Apple Price Target",80.0332260131836,03-06-2020
A Look Into Apple's Price Over Earnings,80.0332260131836,03-06-2020
"Zoom Initially Slips Despite Strong Earnings, Then Reverses Course In Pre-Market Trading",80.0332260131836,03-06-2020
"Morgan Stanley Maintains Overweight on Apple, Raises Price Target to $340",80.0332260131836,03-06-2020
"Warner Music Set To Go Public Today, In Anticipated Largest US IPO Of The Year",80.0332260131836,03-06-2020
Peloton Makes Its Fitness App Available On Apple TV After Pandemic Demand Surge,80.0332260131836,03-06-2020
'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article,79.59505462646484,02-06-2020
MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,79.59505462646484,02-06-2020
"Hearing Susquehanna Check Suggests Total iPhone 12 Builds Tracking To 10M, Below Firm's Expectation Of 25M; Unconfirmed",79.59505462646484,02-06-2020
Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,79.59505462646484,02-06-2020
